edge_id, from_node, to_node
24047,344225035,1123894971,{highway=trunk}{oneway=yes}
24048,1123894971,1033679343,{highway=trunk}{oneway=yes}
24049,1033679343,283192033,{highway=trunk}{oneway=yes}
24050,283192033,1033636573,{highway=trunk}{oneway=yes}
24051,1033636573,1275671278,{highway=trunk}{oneway=yes}
24066,283191842,283192005,{highway=trunk}{oneway=yes}
24067,283192005,283192006,{highway=trunk}{oneway=yes}
42028,295904736,344227010,{highway=motorway}{oneway=yes}
42029,344227010,344227009,{highway=motorway}{oneway=yes}
42207,1275671212,1033636404,{highway=secondary}{name=طريق ابراهيم الخليل}{oneway=yes}
42208,1033636404,1033636618,{highway=secondary}{name=طريق ابراهيم الخليل}{oneway=yes}
42209,1033636618,1033636608,{highway=secondary}{name=طريق ابراهيم الخليل}{oneway=yes}
42210,1033636608,1033636306,{highway=secondary}{name=طريق ابراهيم الخليل}{oneway=yes}
42211,1033636306,1275671298,{highway=secondary}{name=طريق ابراهيم الخليل}{oneway=yes}
42212,1275671298,1033636392,{highway=secondary}{name=طريق ابراهيم الخليل}{oneway=yes}
42213,1033636392,1033636649,{highway=secondary}{name=طريق ابراهيم الخليل}{oneway=yes}
42214,1033636649,1033636577,{highway=secondary}{name=طريق ابراهيم الخليل}{oneway=yes}
42215,1033636577,1033636307,{highway=secondary}{name=طريق ابراهيم الخليل}{oneway=yes}
42216,1033636307,1033636716,{highway=secondary}{name=طريق ابراهيم الخليل}{oneway=yes}
42217,1033636716,1033636361,{highway=secondary}{name=طريق ابراهيم الخليل}{oneway=yes}
42218,1033636361,1125535666,{highway=secondary}{name=طريق ابراهيم الخليل}{oneway=yes}
42219,1125535666,1033636309,{highway=secondary}{name=طريق ابراهيم الخليل}{oneway=yes}
42220,1033636309,1555719111,{highway=secondary}{name=طريق ابراهيم الخليل}{oneway=yes}
66923,295904737,295904736,{bridge=yes}{created_by=Potlatch 0.10f}{highway=motorway}{layer=1}{oneway=yes}
66924,344227489,344227490,{bridge=yes}{created_by=Potlatch 0.10f}{highway=motorway}{layer=1}{oneway=yes}
66925,344227490,344227491,{bridge=yes}{created_by=Potlatch 0.10f}{highway=motorway}{layer=1}{oneway=yes}
67061,344227503,344227504,{highway=motorway}{oneway=yes}
67062,344227504,344227505,{highway=motorway}{oneway=yes}
67063,344227505,344227489,{highway=motorway}{oneway=yes}
185395,344226153,344226152,{highway=motorway}{layer=1}{name=الطريق الدائري الثالث}{oneway=yes}
185396,344226152,344226387,{highway=motorway}{layer=1}{name=الطريق الدائري الثالث}{oneway=yes}
185397,344226387,344226388,{highway=motorway}{layer=1}{name=الطريق الدائري الثالث}{oneway=yes}
185398,344226388,344226389,{highway=motorway}{layer=1}{name=الطريق الدائري الثالث}{oneway=yes}
185399,344226389,344226390,{highway=motorway}{layer=1}{name=الطريق الدائري الثالث}{oneway=yes}
185400,344226390,344226391,{highway=motorway}{layer=1}{name=الطريق الدائري الثالث}{oneway=yes}
185401,344226391,344226393,{highway=motorway}{layer=1}{name=الطريق الدائري الثالث}{oneway=yes}
185402,344226393,1033678560,{highway=motorway}{layer=1}{name=الطريق الدائري الثالث}{oneway=yes}
185403,1033678560,344226394,{highway=motorway}{layer=1}{name=الطريق الدائري الثالث}{oneway=yes}
185405,344226155,344226154,{highway=motorway}{layer=1}{name=الطريق الدائري الثالث}{oneway=yes}
185406,289349505,495013507,{highway=motorway}{layer=1}{name=الطريق الدائري الثالث}{oneway=yes}
185407,344226154,344226153,{bridge=yes}{highway=motorway}{layer=1}{name=الطريق الدائري الثالث}{oneway=yes}
185408,344226164,289349505,{bridge=yes}{highway=motorway}{layer=1}{oneway=yes}
283094,1033636281,283191850,{bridge=yes}{highway=trunk}{layer=1}{oneway=yes}
283095,283191850,283192010,{bridge=yes}{highway=trunk}{layer=1}{oneway=yes}
283096,283192010,1033636640,{bridge=yes}{highway=trunk}{layer=1}{oneway=yes}
283097,1033636640,283191852,{bridge=yes}{highway=trunk}{layer=1}{oneway=yes}
283098,283191852,1033636270,{bridge=yes}{highway=trunk}{layer=1}{oneway=yes}
283099,1033636716,1033636385,{highway=primary}{oneway=yes}
283100,1033636385,1033636602,{highway=primary}{oneway=yes}
283101,1033636602,1033678954,{highway=primary}{oneway=yes}
283102,1033678954,1033678587,{highway=primary}{oneway=yes}
283103,1033678587,1033636312,{highway=primary}{oneway=yes}
283104,1033636312,1033640028,{highway=primary}{oneway=yes}
283105,1033640028,1033636675,{highway=primary}{oneway=yes}
283106,1033636675,1033636476,{highway=primary}{oneway=yes}
283107,1033636476,1033636357,{highway=primary}{oneway=yes}
283108,1033636357,1033636569,{highway=primary}{oneway=yes}
283109,1033636569,1033636305,{highway=primary}{oneway=yes}
283110,1033636305,1033636443,{highway=primary}{oneway=yes}
283111,1033636443,1033764782,{highway=primary}{oneway=yes}
283112,1033764782,1126657860,{highway=primary}{oneway=yes}
283118,1033636555,1033636699,{highway=residential}
283119,1033636699,1033636371,{highway=residential}
283120,1033636371,1033636598,{highway=residential}
283121,1033636598,1033636310,{highway=residential}
283122,1033636310,1129764749,{highway=residential}
283123,1129764749,1033640002,{highway=residential}
283124,1033640002,1129765272,{highway=residential}
283125,1129765272,1033636476,{highway=residential}
283126,1033636476,1033636719,{highway=residential}
283127,1033636719,1033636565,{highway=residential}
283128,1033636565,1033640042,{highway=residential}
283129,1033640042,1033636287,{highway=residential}
283130,1033636287,1033636431,{highway=residential}
283131,1033636431,1033636646,{highway=residential}
283132,1033636646,1033636505,{highway=residential}
